Cowboy Bebop, 1
Cowboy Bebop: Tengoku no Tobira, 5
Trigun, 6
Witch Hunter Robin, 7
Bouken Ou Beet, 8
Eyeshield 21, 15
Hachimitsu to Clover, 16
Hungry Heart: Wild Striker, 17
Initial D Fourth Stage, 18
Monster, 19
Naruto, 20
One Piece, 21
Tennis no Oujisama, 22
Ring ni Kakero 1, 23
School Rumble, 24
Sunabouzu, 25
Texhnolyze, 26
Trinity Blood, 27
Yakitate!! Japan, 28
Zipang, 29
Shinseiki Evangelion, 30
Shinseiki Evangelion Movie: Shi to Shinsei, 31
Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni, 32
Kenpuu Denki Berserk, 33
Koukaku Kidoutai, 43
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen, 44
Rurouni Kenshin: Meiji Kenkaku Romantan, 45
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka, 46
Akira, 47
.hack//Sign, 48
Aa! Megami-sama!, 49
Aa! Megami-sama! (TV), 50
Tenshi Kinryouku, 51
Kidou Tenshi Angelic Layer, 52
Ai Yori Aoshi, 53
Appleseed (Movie), 54
Arc the Lad, 55
Avenger, 56
Beck, 57
Blue Gender, 58
Chobits, 59
Chrno Crusade, 60
D.N.Angel, 61
D.C.: Da Capo, 62
DearS, 63
Rozen Maiden, 64
Rozen Maiden: Träumend, 65
Azumanga Daiou The Animation, 66
Basilisk: Kouga Ninpou Chou, 67
Black Cat, 68
Cluster Edge, 69
Full Metal Panic!, 71
Full Metal Panic? Fumoffu, 72
Full Metal Panic! The Second Raid, 73
Gakuen Alice, 74
Soukyuu no Fafner: Dead Aggressor, 75
Mahou Shoujo Lyrical Nanoha, 76
Mahou Shoujo Lyrical Nanoha A's, 77
Shuffle!, 79
Kidou Senshi Gundam, 80
Kidou Senshi Gundam: Dai 08 MS Shoutai, 81
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou, 82
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report, 83
Kidou Senshi Gundam 0083: Stardust Memory, 84
Kidou Senshi Zeta Gundam, 85
Kidou Senshi Gundam ZZ, 86
Kidou Senshi Gundam: Gyakushuu no Char, 87
Kidou Senshi Gundam F91, 88
Kidou Senshi Victory Gundam, 89
Shin Kidou Senki Gundam Wing, 90
Shin Kidou Senki Gundam Wing: Endless Waltz, 91
Kidou Shinseiki Gundam X, 92
Kidou Senshi Gundam SEED, 93
Kidou Senshi Gundam SEED Destiny, 94
Turn A Gundam, 95
Fullmetal Alchemist, 121
Full Moon wo Sagashite, 122
Fushigi Yuugi, 123
Fushigi Yuugi: Eikouden, 124
Futakoi, 125
Futakoi Alternative, 126
Gate Keepers, 127
Gate Keepers 21, 128
Gensoumaden Saiyuuki, 129
Saiyuuki Reload, 130
Saiyuuki Reload Gunlock, 131
GetBackers, 132
Green Green, 133
Gunslinger Girl, 134
Hikaru no Go, 135
Hunter x Hunter, 136
Hunter x Hunter: Original Video Animation, 137
Hunter x Hunter: Greed Island, 138
Hunter x Hunter: Greed Island Final, 139
Jinki:Extend, 141
Kamikaze Kaitou Jeanne, 142
Kannazuki no Miko, 143
Kanon, 144
Kareshi Kanojo no Jijou, 145
Kono Minikuku mo Utsukushii Sekai, 146
Speed Grapher, 198
Sen to Chihiro no Kamikakushi, 199
Tenshi na Konamaiki, 200
Video Girl Ai, 201
Wolf's Rain, 202
Words Worth, 203
Yumeria, 204
Samurai Champloo, 205
Lodoss-tou Senki: Eiyuu Kishi Den, 206
Lodoss-tou Senki, 207
R.O.D: Read or Die, 208
R.O.D: The TV, 209
Ranma ½, 210
Pure Mail, 211
Project A-Ko, 212
Pia Carrot e Youkoso!!, 213
Pia Carrot e Youkoso!! 2, 214
Pia Carrot e Youkoso!! 2 DX, 215
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari, 216
Shin Angel, 217
Kidou Senkan Nadesico, 218
Kidou Senkan Nadesico: The Prince of Darkness, 219
Kuro no Danshou, 220
Mezzo Forte, 221
Mezzo DSA, 222
InuYasha, 249
Konjiki no Gash Bell!!, 250
Kyou kara Maou!, 251
Madlax, 252
Jungle wa Itsumo Hare nochi Guu, 253
Jungle wa Itsumo Hare nochi Guu Deluxe, 254
Jungle wa Itsumo Hare nochi Guu Final, 255
Hoshi no Koe, 256
Ikkitousen, 257
Hitsuji no Uta, 258
Happy☆Lesson, 259
Happy☆Lesson (TV), 260
Happy☆Lesson Advance, 261
Happy☆Lesson The Final, 262
Hajime no Ippo, 263
Hajime no Ippo: Champion Road, 264
Hajime no Ippo: Mashiba vs. Kimura, 265
Gunparade March: Arata Naru Kougunka, 266
Gungrave, 267
Golden Boy, 268
Bleach, 269
Hellsing, 270
Gad Guard, 271
Noir, 272
Mahoutsukai ni Taisetsu na Koto, 273
Kidou Keisatsu Patlabor: On Television, 324
Peach Girl, 325
Petshop of Horrors, 326
Puchi Pri*Yucie, 327
Piano, 328
Planetes, 329
Midori no Hibi, 330
Mahoujin Guruguru, 331
Dokidoki♡Densetsu: Mahoujin Guruguru, 332
Mama wa Shougaku 4-nensei, 333
Marmalade Boy, 334
Matantei Loki Ragnarok, 335
Ginyuu Mokushiroku Meine Liebe, 336
Psychic Academy, 337
Versailles no Bara, 338
Serial Experiments Lain, 339
Mutsu Enmei Ryuu Gaiden: Shura no Toki, 340
Spiral: Suiri no Kizuna, 341
Starship Operators, 342
Tsukuyomi: Moon Phase, 343
Futatsu no Spica, 344
Eikoku Koi Monogatari Emma, 345
W: Wish, 346
Wild Arms: Twilight Venom, 347
Binzume Yousei, 348
Bannou Bunka Neko-Musume DASH!, 374
Bannou Bunka Neko-Musume (1998), 375
Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer, 376
eX-Driver, 377
eX-Driver the Movie, 378
Heppoko Jikken Animation Excel♥Saga, 379
Fushigi Yuugi OVA, 380
Fushigi Yuugi: Dai Ni Bu, 381
Futari Ecchi, 382
Galaxy Angel, 383
Gantz, 384
Gilgamesh, 385
H2, 386
Haibane Renmei, 387
Capeta, 388
Karas, 389
Suzuka, 390
Tales of Phantasia The Animation, 391
Yuu☆Yuu☆Hakusho, 392
Escaflowne, 393
Ai Yori Aoshi: Enishi, 394
Gantz 2nd Stage, 395
Seikai no Senki, 396
Seikai no Senki II, 397
Seikai no Senki III, 398
.hack//Gift, 454
Fantastic Children, 455
Gokujou Seitokai, 456
Mushishi, 457
Buttobi!! CPU, 458
One Piece Movie 01, 459
One Piece Movie 02: Nejimaki-jima no Daibouken, 460
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku, 461
One Piece Movie 04: Dead End no Bouken, 462
One Piece Movie 05: Norowareta Seiken, 463
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima, 464
One Piece Movie 07: Karakuri-jou no Mecha Kyohei, 465
One Piece: Taose! Kaizoku Ganzack, 466
Koukaku Kidoutai: Stand Alone Complex, 467
Innocence, 468
Karin, 469
Okusama wa Joshikousei (TV), 470
To Heart 2, 471
To Heart, 472
Tide-Line Blue, 473
Macross Plus, 474
Hotori: Tada Saiwai wo Koinegau, 475
Ginban Kaleidoscope, 476
Aria the Animation, 477
Sousei no Aquarion, 478
Sensei no Ojikan: Dokidoki School Hours, 533
Slayers, 534
Slayers Next, 535
Slayers: The Motion Picture, 536
Tekken, 537
